09/20/2018 18:19:50+457335us LOEC <LO> LOEC_bind_handler > (function_code = 0x4c4fff03)
09/20/2018 18:19:50+457398us LOEC <LO> LOECAP_start_lot >>(lot_id=1093)
09/20/2018 18:19:50+465063us LOEC <LO> LODM_get_lot_data > ()
09/20/2018 18:19:50+466498us LOEC <LO> LODM_get_lot_data < () = OK
09/20/2018 18:19:50+466596us LOEC <LO> LODM_get_lot_align_data > ()
09/20/2018 18:19:50+469027us LOEC <LO> LODM_get_lot_align_data < () = OK
09/20/2018 18:19:50+469106us LOEC <LO> LODM_get_lot_level_data > ()
09/20/2018 18:19:50+469906us LOEC <LO> LODM_get_lot_level_data < () = OK
09/20/2018 18:19:50+469962us LOEC <LO> LODM_get_lot_seal_data > ()
09/20/2018 18:19:50+695563us LOEC <LO> LODM_get_lot_seal_data < () = OK
09/20/2018 18:19:50+697409us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 7, seg_type = 2, start_pos = (0.479373, 0.242554),end_pos = (0.479924, 0.242004), arc_center_pos = (0.479941, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697441us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 0, seg_type = 1, start_pos = (0.406898, 0.242073),end_pos = (0.475284, 0.242073), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697475us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 1, seg_type = 2, start_pos = (0.475284, 0.242073),end_pos = (0.475833, 0.242623), arc_center_pos = (0.475301, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697508us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 2, seg_type = 1, start_pos = (0.475833, 0.242623),end_pos = (0.475833, 0.380374), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697541us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 3, seg_type = 2, start_pos = (0.475833, 0.380374),end_pos = (0.475383, 0.380824), arc_center_pos = (0.475401, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697573us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 4, seg_type = 1, start_pos = (0.475383, 0.380824),end_pos = (0.406798, 0.380824), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697606us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 5, seg_type = 2, start_pos = (0.406798, 0.380824),end_pos = (0.406348, 0.380374), arc_center_pos = (0.406781, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697643us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 6, seg_type = 1, start_pos = (0.406348, 0.380374),end_pos = (0.406348, 0.242623), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697676us LOEC <LO> LOECAP_start_lot <(cell_index = 3, seg_id = 7, seg_type = 2, start_pos = (0.406348, 0.242623),end_pos = (0.406898, 0.242073), arc_center_pos = (0.406881, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697709us LOEC <LO> LOECAP_start_lot <(cell_index = 4, seg_id = 0, seg_type = 1, start_pos = (0.333821, 0.242038),end_pos = (0.402241, 0.242038), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
